Date,SW_chl_nn,SW_chl_oc4me,MST_chl_nn,MST_chl_oc4me,PK_chl_nn,PK_chl_oc4me
2018-01-27,,,,,,
2018-01-28,,,,,,
2018-01-29,,,,,,
2018-01-30,0.52063745,,12.657915,,,
2018-01-31,,,,,,
2018-02-01,,,,,,
2018-02-02,,,,,,
2018-02-03,12.207147,,11.77243,,,
2018-02-04,,,5.3016305,12.207147,1.1987818,3.966662
2018-02-05,,,,,,
2018-02-06,,,,,,
2018-02-07,,,6.8335385,,,
2018-02-08,2.2205303,,8.494422,,0.07618856,1.9207222
2018-02-09,,,,,,
2018-02-10,,,,,,
2018-02-11,,,,,0.101829596,0.20280871
2018-02-12,,,,,,
2018-02-13,,,,,,
2018-02-14,2.065193,,,,,
2018-02-15,11.353195,,,,1.0752169,4.7551622
2018-02-16,,,,,,
2018-02-17,,,,,,
2018-02-18,11.77243,,3.4310975,7.618856,0.313374,0.9643884
2018-02-19,,,,,,
2018-02-20,,,,,,
2018-02-21,,,,,,
2018-02-22,13.12533,,5.7004023,,,
2018-02-23,,,,,,
2018-02-24,,,,,,
2018-02-25,,,,,,
2018-02-26,12.207147,7.618856,23.446539,,0.22611569,0.9643884
2018-02-27,2.302527,29.145191,,,,
2018-02-28,,,,,,
2018-03-01,,,,,,
2018-03-02,1.0369266,,,,0.07900195,
2018-03-03,,,,,,
2018-03-04,,,,,,
2018-03-05,,,,,,
2018-03-06,6.1291685,,,,,
2018-03-07,,,,,,
2018-03-08,,,,,,
2018-03-09,,,,,,
2018-03-10,15.734407,28.107285,18.862122,,,
2018-03-11,,,,,,
2018-03-12,,,,,,
2018-03-13,1.5451703,14.633706,,,,
2018-03-14,,,15.174079,,1.1987818,2.7602274
2018-03-15,,,,,,
2018-03-16,,,,,,
2018-03-17,12.657915,5.4974017,15.174079,,0.2431234,
2018-03-18,,,,,,
2018-03-19,,,,,,
2018-03-20,,,,,,
2018-03-21,,,9.820328,30.221426,0.2710634,0.4503429
2018-03-22,,,4.9307547,,,
2018-03-23,,,,,,
2018-03-24,,,,,,
2018-03-25,,,2.302527,,,
2018-03-26,,,6.3554983,5.7004023,0.1819041,0.8341801
2018-03-27,,,,,,
2018-03-28,,,,,,
2018-03-29,1.5451703,,7.347536,9.133346,0.06355498,
2018-03-30,3.0774355,,8.808093,,,
2018-03-31,,,,,,
2018-04-01,,,,,,
2018-04-02,,,,,,
2018-04-03,,,0.46697253,,0.2431234,0.58046967
2018-04-04,,,,,,
2018-04-05,,,,,,
2018-04-06,9.47061,,,,,
2018-04-07,,,,,,
2018-04-08,,,,,,
2018-04-09,,,,,,
2018-04-10,,,,,,
2018-04-11,,,,,,
2018-04-12,,,,,,
2018-04-13,12.657915,,14.112576,,0.29145193,
2018-04-14,4.4225144,,10.558982,,,
2018-04-15,,,,,,
2018-04-16,,,,,,
2018-04-17,,,,,,
2018-04-18,,,,,,
2018-04-19,,,,,,
2018-04-20,,,,,,
2018-04-21,10.18296,,1.8523222,,0.29145193,0.80447364
2018-04-22,,,4.585823,,0.1819041,0.60190445
2018-04-23,,,,,,
2018-04-24,,,,,,
2018-04-25,,,3.966662,,,
2018-04-26,,,,,,
2018-04-27,,,,,,
